순위,관광지명,주소,분류
69,영주아트파크까치홀,경북 영주시 가흥로 257-0,공연시설
70,관음사,경북 영주시 한성로 33-15,종교성지
71,갈라지펜션,경북 영주시 죽령로1381번길 56-48,펜션/민박
72,꽃가람캠핑장,경북 영주시 삼가로 407-7,캠핑
73,이루마모텔,경북 영주시 선비로 99-0,모텔
73,크리스탈모텔,경북 영주시 지천로108번길 6-0,모텔
75,무섬외나무다리축제,경북 영주시,기타문화관광지
76,영주네별장,경북 영주시 소백로1623번길 243-34,펜션/민박
77,느티나무펜션,경북 영주시 평은로 871-0,펜션/민박
78,영주시청소년수련관,경북 영주시 소백로 2790-0,육상레저스포츠
78,용두사,경북 영주시 호문길 105-76,종교성지
80,비로사,경북 영주시 삼가로 661-29,종교성지
81,고치령,경북 영주시 영단로 0-0,자연경관(산)
82,용천루출렁다리,경북 영주시,기타관광
83,소백산마을캠핑장,경북 영주시,캠핑
84,희방모텔,경북 영주시 죽령로 1706-7,모텔
85,동천사,경북 영주시 신재로939번길 110-23,종교성지
86,월드CC,경북 영주시 충효로2032번길 46-0,육상레저스포츠
87,와인모텔,경북 영주시 번영로173번길 36-0,모텔
87,드라마모텔,경북 영주시 번영로173번길 65-0,모텔
89,풍기황토펜션,경북 영주시 삼가로 22-0,펜션/민박
90,영진모텔,경북 영주시 중앙로 64-0,모텔
90,죽령옛길,경북 영주시,기타레저스포츠
90,이산얼음썰매장,경북 영주시 영봉로329번길 143-15,육상레저스포츠
93,베리벨벳농원,경북 영주시 신천로 321-12,농/산/어촌체험
94,영주가축시장,경북 영주시 대학로153번길 114-56,시장
94,모텔거기,경북 영주시 풍기로 2-0,모텔
96,풍기온천숯불,경북 영주시 죽령로 1365-0,웰니스관광
96,풍기인삼홍삼센터,경북 영주시 기주로 10-0,시장
96,스위스모텔,경북 영주시 원당로 61-4,모텔
99,영주창진야구장,경북 영주시,레저스포츠시설
99,호수목장,경북 영주시 의상로 152-0,농/산/어촌체험
