기준년월,방문자수,전년동월방문자수,방문자수증감률
202304,679702.0,615965.0,10.3
202305,789679.0,746567.0,5.8
202306,663334.0,686299.0,-3.3
202307,713132.0,866073.0,-17.6
202308,746719.0,787794.0,-5.2
202309,948571.0,912175.0,4.0
202310,899315.0,1028713.0,-12.6
202311,706400.0,709509.0,-0.4
202312,661511.0,590291.0,12.1
202401,615455.0,777606.0,-20.8
202402,786470.0,554426.0,41.8
202403,772433.0,738657.0,4.6
